"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75"
"21",0.2,0.16,150598283.681501,1791305.16605859,7120658.47194104,12244873.5214511,14195384.3758714,14800933.2743782,12037269.9009187,11458735.9633671,11189580.4089443,10687474.4270003,10066105.1391533,9919805.18723617,9231565.42899121,8118252.13093017,6795254.50579379,4343026.02251515,2403295.50004311,4194764.25690732
"22",0.21,0.16,148044093.898237,1751577.75919861,6958545.02088981,12051863.9236915,14020200.5532929,14625577.5425184,11834954.1430544,11273126.9892648,11010824.0770221,10518423.6642962,9907715.58991165,9757153.86374426,9050375.86866252,7946504.69880094,6647483.32206343,4245762.50735104,2347181.94859458,4096822.42588053
"23",0.22,0.16,148686886.801134,1765975.5040477,7011475.33793378,12095002.4862598,14043422.1385538,14651131.7347088,11900088.8670875,11338717.2810728,11072735.8562111,10575995.6301914,9960917.74087992,9813931.43429884,9085861.32261743,7979311.1270957,6675751.1094756,4256018.96955548,2353208.66734944,4107341.59379446
"24",0.23,0.16,150571578.786737,1791378.33730725,7107423.75051178,12267345.8963891,14204773.6206418,14821300.2337116,12089554.3718392,11485132.1558766,11214973.7654463,10711728.9443211,10087678.9660103,9938248.19770426,9137621.35661181,8028474.31989551,6721884.04500059,4353900.94614258,2407702.88152246,4202456.99780462
"25",0.24,0.16,149143529.383509,1776232.71468794,7045644.96551435,12178943.4913402,14134502.8236166,14740812.2492937,11974152.6944547,11325776.3289764,11059959.6709646,10565619.6091588,9953324.86122929,9804853.16294665,9086313.93678092,7986225.83479657,6684599.22608174,4297892.95865525,2378022.55467649,4150652.30033445
"26",0.25,0.16,147933987.767014,1762353.18134084,6987057.48449829,12063981.7599782,14028781.6506658,14638847.8103575,11861648.1538009,11257709.3475194,10995288.133804,10503183.5413815,9893503.83013577,9742615.02111683,9026706.78220917,7924501.72208473,6627872.94695514,4217534.32364733,2332028.61481843,4070373.46269989
"27",0.26,0.16,147952142.42586,1771510.78558212,7017480.40396301,12103718.6179107,14070177.2983799,14684272.0846666,11901701.0869043,11256909.5691675,10995076.3987442,10503597.9571891,9893862.9467281,9740172.14371422,8949526.71422428,7844295.06910225,6559804.51996149,4232956.16400311,2341017.61085892,4086063.05476049
"28",0.27,0.16,146823432.331318,1752092.214515,6936658.2396289,11985534.7282128,13950579.8003925,14568414.8257696,11796883.532748,11213531.0366856,10952651.2510274,10461845.0530677,9853211.79562614,9700302.58927542,8912669.48835463,7815574.00963007,6534643.4029238,4128672.16673258,2280220.95929089,3979947.23743721
"29",0.28,0.16,147142604.51943,1743995.4416095,6903422.19401641,12015778.7244782,13985691.5604518,14598256.0110827,11823751.1146424,11200149.5767549,10937260.7524472,10447997.6782864,9842760.77572718,9693560.22095908,9006144.28759494,7909391.51441161,6613695.31196565,4139790.61219583,2287793.76433174,3993164.97847416
"30",0.29,0.16,150579479.607743,1802931.85095271,7130344.68336804,12192998.9615089,14132951.3568954,14761068.6049254,12041695.8681649,11495033.8762806,11223967.471627,10718613.7870792,10093347.6643259,9948047.53825163,9191650.05283239,8078486.64628932,6763336.10726548,4368610.90701806,2417258.55310165,4219135.677856
"31",0.3,0.16,146335640.388754,1738560.39190628,6870367.84830132,11930297.1532507,13896546.2983581,14522206.6439671,11756392.235212,11208140.335411,10948186.8535978,10457995.2790043,9848561.27733088,9692629.63520124,8826282.16945325,7727061.52120365,6459944.54922915,4153127.99813972,2294489.07599036,4004851.12319701
"32",0.31,0.16,147999759.652507,1764179.29325004,6969945.186656,12073955.8758219,14035192.0114961,14662382.3427557,11907050.7919233,11224516.7220395,10961589.8309095,10471413.1511494,9864862.92862972,9713136.52011693,9046839.30214927,7944040.25029004,6644631.63248134,4255283.86340784,2353277.75992687,4107462.18950386
"33",0.32,0.16,148805438.477032,1772844.79650024,7001706.92133284,12141643.4354362,14102763.2503141,14728542.1186187,11976925.1243148,11298594.8539936,11031515.4669136,10538459.9771811,9928316.32484859,9780686.59923745,9051762.63299969,7946798.70686584,6649206.72391572,4306237.38207585,2385583.98128272,4163850.18120051
"34",0.33,0.16,141410788.876189,1676739.36581353,6613860.91435813,11600930.886227,13596711.6738124,14215496.6684445,11401268.5092716,10698537.2089484,10453497.4009042,9990436.0158544,9415236.90987822,9255786.14372854,8609050.21478353,7539003.59141785,6296812.27574957,3992026.47829744,2205633.67437166,3849760.94432747
"35",0.34,0.16,143317030.58633,1700803.71302227,6706577.40423362,11651430.4596626,13631216.81524,14254369.3259101,11473466.4400263,10886725.8118492,10636616.3547095,10164385.6536253,9576141.83276683,9420970.07492134,8675582.58073633,7602725.9479076,6360691.4137786,4198909.3239659,2322563.89759168,4053853.53638246
"36",0.35,0.16,145775553.991669,1733877.06195634,6832160.71145325,11889638.5398266,13861853.0440638,14496694.4538596,11741209.4297528,11112089.1639543,10850793.2028684,10365194.0120655,9764679.556157,9614921.61044775,8898219.67464147,7804725.67815671,6523266.40553808,4086468.35585847,2258218.83934095,3941544.25172804
"37",0.36,0.16,147446585.03751,1757021.66731747,6920109.76458763,11940396.7254416,13896546.5117597,14533953.9018281,11807702.3986009,11224668.1645014,10961280.8705685,10470714.0916354,9862592.32119465,9714496.03426463,8986466.20492457,7892063.33085457,6605851.8498918,4315503.92775497,2388418.92239837,4168798.34998598
"38",0.37,0.16,144293786.890968,1722649.71103104,6781119.33027836,11803514.1482279,13780800.3170059,14409941.4426117,11638244.8278029,10953728.725158,10701299.6046537,10224881.9816864,9632687.09141113,9473329.29881525,8732408.89708079,7649606.71758684,6395434.04619853,4128404.72384848,2282249.00113813,3983487.02643276
"39",0.38,0.16,143486187.691128,1705195.77369479,6705744.15981123,11655084.9397272,13624347.7912317,14262134.3504392,11517208.8623998,10983514.3289223,10729063.2791654,10249131.960813,9653049.27769534,9498706.86842883,8703398.86378502,7620292.16803851,6368243.29479563,4061214.56843667,2240040.98322817,3909816.22051511
"40",0.39,0.16,144337344.814189,1712564.43369448,6733397.65266996,11699850.9494799,13682692.7939312,14320756.5605632,11558130.5887742,11047589.9154222,10789677.7756345,10307290.0326513,9708876.54896732,9558916.12130422,8783286.67574535,7699772.94024473,6437727.37051312,4094867.4398099,2259014.31765353,3942932.69712966
"41",0.4,0.16,142363556.214828,1687490.21904474,6628816.13538579,11603734.7853713,13590703.6464074,14234535.3741738,11464286.147892,10893123.1908347,10641393.828207,10165179.9401936,9574755.85020527,9416694.5625023,8687529.84657099,7602344.55244277,6345972.27868686,3913118.29850538,2154087.11549055,3759790.44291342
"42",0.41,0.16,142748324.968526,1691231.0783518,6639355.2038538,11602933.0736786,13582719.8789372,14221685.9386368,11468711.0777844,10923229.5114862,10668611.4429332,10192998.8646175,9602008.12806508,9450340.98233495,8624844.49299896,7550002.73755307,6310576.67728754,4062699.06862745,2242415.70284281,3913961.10853645
"43",0.42,0.16,143911249.881559,1714643.49357708,6729834.46917932,11720515.9795731,13700687.6717204,14344349.4523419,11583087.8101472,10926334.9140591,10672920.6709821,10197426.6157297,9607509.70431475,9451683.28325882,8753538.72558072,7670372.67944651,6412467.60233324,4141271.25913078,2289122.08736832,3995483.46281599
"44",0.43,0.16,142881958.098516,1689629.97960166,6627786.58541092,11617358.3214856,13597268.5359543,14240487.3182822,11486911.1870516,10803143.4663264,10552262.9511876,10083986.9660306,9502813.41443788,9348957.1129203,8733090.09835747,7659758.75067836,6406048.5184965,4181279.00068663,2313369.84955888,4037806.04204936
"45",0.44,0.16,143418287.189593,1694818.24333521,6643201.25515141,11660310.2224695,13652374.2493888,14303521.9871573,11540681.8538779,10919923.9460409,10663429.274007,10188335.7813227,9600226.20845847,9450026.47379619,8768795.77019608,7687722.0253884,6424624.0143867,4062950.28639885,2242768.57639552,3914577.02182266
"46",0.45,0.16,141520446.612529,1681472.50476618,6585186.86642343,11509977.4478655,13491875.7383572,14140592.4738257,11384799.7387046,10772996.9146394,10524924.4161055,10057697.7597323,9475511.80044092,9317560.16039885,8521004.43258273,7454861.89733736,6233180.26570416,4119021.50311542,2276438.11499968,3973344.57753054
"47",0.46,0.16,140977598.667937,1677814.04804796,6569307.71668692,11545815.5148433,13542658.685848,14187671.9333452,11408337.0861123,10739419.6632019,10491080.8101769,10024666.8084395,9445602.17146984,9286084.86286306,8529004.39001448,7453337.67639188,6221390.06665243,3922125.67857617,2161154.88007478,3772126.67519201
"48",0.47,0.16,142086175.230112,1688707.61068788,6608235.76078061,11618473.8091405,13609766.1098975,14264195.0908915,11494953.4052349,10784912.6077271,10533724.2306875,10065775.92998,9485358.63241288,9329096.08130196,8614499.91429166,7537540.50016972,6296269.92154078,4035169.02911137,2228982.35299506,3890514.2432615
"49",0.48,0.16,142805747.814985,1693419.95133253,6620513.90158157,11611981.2644591,13593931.8974601,14258178.2505314,11523759.7212683,10939367.7255518,10681510.8322975,10204691.9722353,9613498.60491821,9462964.00580856,8628603.62380644,7555586.41338859,6314217.99737549,4017558.72493163,2216767.95849231,3869194.96954594
"50",0.49,0.16,141523604.740704,1684387.99651828,6581758.56318183,11520882.1427484,13507736.1555238,14170253.2586826,11422745.0292148,10822993.5236707,10571971.7614965,10099027.7769011,9512843.22670188,9354643.96223589,8605647.37139647,7526191.61023959,6282384.19586822,3921975.73442132,2162932.70385366,3775229.72804915
"51",0.5,0.16,143449040.537923,1697656.27258278,6628455.1264674,11570327.3096523,13540963.2366335,14213706.9103386,11505650.0974891,10984390.5897861,10725842.2006892,10245073.3920282,9649795.15736653,9501174.11526502,8778530.34858801,7701203.30620729,6439205.59293204,4081698.88729399,2252975.5302584,3932392.46434464
"52",0.51,0.16,140937857.698416,1678415.27857076,6548905.6427937,11500622.8677653,13498268.668482,14169826.4628081,11406438.3201517,10747165.3012562,10497322.7619455,10028947.7923792,9449041.97259868,9290675.83300162,8588990.4270725,7515422.48604839,6272708.08282872,3878573.78894234,2136841.84483448,3729690.16693718
"53",0.52,0.16,137605990.84508,1624659.75869436,6334175.30873608,11262374.003342,13273335.2553892,13931801.7335857,11144630.1152809,10507257.0742899,10267273.6701853,9813240.60543148,9246649.21985247,9081020.78477284,8238925.83487099,7183500.78627102,5995185.60655046,3861487.92604488,2127350.09845049,3713123.06333223
"54",0.53,0.16,142683580.541716,1690648.57558808,6592112.80267216,11515822.0284202,13485656.6756328,14156290.9826801,11454815.8756354,10922623.7345728,10666617.1643259,10189144.565838,9597015.715212,9445968.15126392,8692429.0116748,7618548.52006025,6369832.61360308,4089624.23602058,2257004.74457867,3939425.143937
"55",0.54,0.16,138494453.775244,1641075.61857398,6389151.34869833,11267554.1024085,13274773.061497,13946172.3947937,11179426.467354,10565818.1669392,10321654.7161222,9862987.60019706,9293436.79646837,9135067.88758487,8401983.3743992,7341989.43989586,6128134.46192552,3877792.12295367,2137171.19443488,3730265.02099788
"56",0.55,0.16,140282416.410262,1657856.47845357,6450561.00534594,11363326.7443645,13366882.131574,14050713.5205015,11295758.3369966,10681166.2609459,10432990.7427871,9968261.57420463,9392368.42119387,9235352.74424854,8587258.93791736,7516209.87828529,6276031.26057593,3978704.52426241,2196010.10122438,3832963.74738067
"57",0.56,0.16,140497142.658117,1667787.85562416,6489809.04861437,11357668.5538573,13346162.5460652,14018045.3660179,11288539.4731405,10742229.5117222,10491817.3123696,10023667.182907,9442973.0186582,9290265.8716675,8546485.29216895,7481688.50041772,6251941.05176251,3998357.24198398,2207203.63787206,3852501.19326744
"58",0.57,0.16,138594026.631828,1634687.83395641,6354597.70455371,11276225.266515,13274990.8864135,13949223.0278272,11199746.5206002,10635444.55225,10389778.2018066,9928413.17103993,9353135.45018381,9192037.87934999,8287124.48515991,7224343.54405967,6030709.74430015,3926030.06379395,2162705.3683588,3774832.93165953
"59",0.58,0.16,137924603.161683,1623367.27026383,6305468.73176087,11182541.6978764,13187149.5356287,13868228.0648628,11118407.3399789,10562778.0839229,10317564.2674792,9858896.7393236,9288907.69464912,9132142.61565521,8361259.03703506,7305882.76304913,6098934.40619269,3865452.80216617,2129954.05145932,3717668.06037854
"60",0.59,0.16,136794695.031374,1616197.89775901,6273999.38982869,11181612.2966745,13186140.737145,13864229.0105351,11109594.7988886,10460634.9845026,10219089.0986087,9766464.00697527,9202969.8132692,9040202.3265803,8206716.65430005,7155847.27933835,5970226.90206745,3798942.05747451,2091419.23539812,3650408.54202891
"61",0.6,0.16,136252603.322338,1614499.8382331,6265559.87624845,11075082.9977216,13065650.1707546,13741284.497635,11011117.8830497,10468476.25115,10228336.9718652,9773704.78980362,9206662.861201,9044638.4239935,8158353.31474864,7110329.13447133,5933424.06203173,3806815.06798041,2093910.43851828,3654756.74293136
"62",0.61,0.16,138760486.963545,1637764.33824262,6351535.62965962,11218712.2479565,13215236.8139823,13902405.8637299,11177628.6984786,10606554.9817537,10357839.2100718,9896614.82929242,9325138.25246475,9173428.23036731,8463223.40395555,7407120.10553007,6186513.89931847,3914359.36884892,2158652.36308331,3767758.7268089
"63",0.62,0.16,138759424.934671,1649601.7737661,6395364.37985698,11224533.9574228,13216093.8212509,13900690.3420495,11180088.5671769,10612824.3732735,10366364.3827029,9903840.21504585,9330117.93351415,9173689.10419051,8436215.12930343,7375309.61063171,6158171.84116706,3912922.73393633,2157627.26732761,3765969.50205482
"64",0.63,0.16,137320642.656756,1621398.99363475,6279912.00381503,11110848.0487616,13110918.5975898,13795140.7583685,11065172.3171377,10511569.5525105,10269282.6249246,9811762.62195937,9243452.30954451,9083283.45230043,8369799.79992854,7309453.91636537,6099018.37233272,3840056.10067764,2112452.58037829,3687120.60652666
"65",0.64,0.16,138831449.702784,1645204.67862905,6370975.88783693,11236606.4829162,13232667.4881052,13919315.1739227,11200855.1382597,10614264.1842218,10366060.3372862,9904069.52834155,9331370.54962887,9177229.65945737,8439069.52958035,7381525.54856001,6164209.7343265,3917566.77220001,2160126.78833331,3770332.22117827
"66",0.65,0.16,136641328.233897,1621524.94023878,6270586.38663644,11070582.2180686,13068562.4469317,13764542.9963118,11036312.9915428,10452903.4929628,10211267.4340864,9757572.0940908,9193265.4949116,9034294.02773814,8242814.38178094,7194824.43936603,6006322.42768277,3866730.62245433,2130536.740465,3718685.098628
"67",0.66,0.16,135149216.171258,1596856.01510619,6173613.62385743,11123662.9919787,13157973.8466782,13840488.1430969,11048760.9063675,10287847.5828589,10049416.6332203,9607059.12839683,9057018.82346574,8892711.64435503,8086199.01517448,7037825.52261134,5864753.83458066,3713378.4124814,2044002.94487448,3567647.10215384
"68",0.67,0.16,135938364.284844,1608888.60621225,6216031.04601011,11057418.3129342,13064115.0673413,13754471.1875023,11015684.3779196,10416750.6951617,10176024.1859733,9724835.33671836,9162947.66740601,9001713.50500509,8149957.78311243,7102437.50346328,5925816.69905002,3807152.00504561,2095896.69942951,3658223.60655915
"69",0.68,0.16,137951104.820244,1630095.25432808,6293240.98274641,11187534.3364329,13191677.0419117,13890524.5410807,11168241.7440835,10602850.603617,10354882.5011026,9893389.5914796,9320303.14073765,9162606.89398523,8319249.51832001,7260319.57441286,6058564.18643256,3830772.63518698,2107819.08060936,3679033.19377669
"70",0.69,0.16,136996559.461371,1622317.3895694,6258466.56094725,11060707.7683631,13051016.2386541,13764388.2233374,11068724.425078,10545950.740598,10299334.9488674,9839834.0640726,9268994.85044973,9113543.11737666,8254497.71554029,7203442.17841902,6012322.47982377,3836679.74558518,2111274.55669552,3685064.45799383
"71",0.7,0.16,133125631.424084,1572465.12800446,6059830.47906668,10831200.1799035,12850013.6747699,13547190.6670351,10798259.6412642,10151542.6569073,9916944.87935925,9478338.51853042,8933974.97521266,8774078.31058261,8072530.10231291,7037756.33789097,5866650.73911984,3676449.82341947,2024608.93732318,3533796.37338178
"72",0.71,0.16,132735182.112684,1567245.57178431,6038007.56794028,10836070.3016268,12861707.2039752,13553113.0591072,10789939.4828839,10157737.4440923,9925094.20702597,9487710.60969157,8941766.34355918,8776202.8154446,7911864.14835481,6878962.31891877,5734001.94682258,3695882.36353301,2032429.74471998,3547446.98320378
"73",0.72,0.16,133699339.106583,1577881.90416125,6073678.55096104,10845745.6394401,12861044.2914181,13563305.7198632,10825561.0632883,10226844.0139221,9991394.99780408,9549675.40936907,8999299.29938271,8837474.90516621,8036313.70571891,7001307.59758848,5841165.99471131,3770060.12308241,2075668.6929875,3622917.19771833
"74",0.73,0.16,134202186.563464,1588047.04144667,6110607.88666061,10907175.7721514,12921051.6477781,13630711.9894576,10893021.6084268,10230556.8047915,9994113.83902518,9552093.57414538,9002618.94153942,8840664.06263994,8099996.49345217,7061213.75977293,5889753.38014841,3774744.83212312,2078301.81788397,3627513.11202111
"75",0.74,0.16,134723949.176591,1592416.64592717,6128477.55291335,10914835.0279919,12924189.8363854,13623884.2898014,10902230.2689838,10360672.9702018,10120552.220129,9669954.75925414,9110235.77227667,8950325.32443163,8146297.65919638,7101193.94413285,5921167.07058408,3689759.99130354,2028014.8006623,3539741.04241535
"76",0.75,0.16,136922144.463275,1613534.8889583,6204782.78173056,11029358.6896048,13025434.9163223,13735885.0572098,11049618.4838878,10569324.8117711,10322118.2544463,9860699.98017997,9287532.35185441,9130761.91960677,8284804.20927195,7232248.14642915,6035798.76125158,3803079.96820778,2089719.48404151,3647441.75850053
"77",0.76,0.16,134563830.24723,1590194.27335966,6109948.57916643,10894447.5950089,12909326.4820606,13612199.6378379,10889170.0952267,10289260.4378538,10050234.4973255,9605007.78826017,9051479.49220479,8893392.97890442,8123683.75772049,7086096.08407322,5913098.03102545,3799472.07704125,2093237.04796382,3653581.39219705
"78",0.77,0.16,134366400.104045,1579499.98058884,6065984.54356327,10899308.3358037,12909963.2927118,13618560.6698764,10906177.9530996,10307665.6959797,10067100.2080166,9620163.28039779,9065235.02597209,8905849.5704587,8121977.95858264,7078239.50981049,5901425.46664901,3712846.53730864,2042091.40935393,3564310.66587201
"79",0.78,0.16,132775056.120124,1570346.7035497,6025620.19340835,10750357.481379,12754792.8824386,13461379.1519019,10759257.4453165,10218709.8641708,9981997.30292951,9537773.2822435,8986220.71793884,8826516.6190308,8043280.73605627,7005908.57777076,5837957.61831513,3596944.91558029,1973464.63997282,3444527.98812071
"80",0.79,0.16,132849229.235653,1560922.03043452,5982673.76687866,10768176.2141095,12788364.646894,13503274.9887734,10777887.585425,10155085.1260357,9919361.44954861,9480860.05082543,8935815.64053698,8775417.14927444,8041305.87434346,7010301.22754361,5845889.3567156,3707913.71887368,2038295.39346763,3557685.0159726
"81",0.8,0.16,134335644.50267,1583706.80694988,6072009.37737499,10908445.417879,12918257.0002268,13629176.972965,10919236.7251531,10243113.4155494,10004740.3416445,9563128.89894868,9013655.93145604,8852551.1908207,8081604.84413807,7044349.32274543,5877999.24031501,3829534.96469965,2110471.41501805,3683662.63678603
"82",0.81,0.16,133120770.257162,1580402.14606566,6059437.26222447,10884704.3973898,12909026.8545096,13609482.1428279,10869049.945836,10197609.376128,9962388.3542771,9521161.88352278,8972398.47141087,8806028.6008424,7970324.80266731,6930252.36846747,5772285.61814264,3618296.84386889,1988008.32757172,3469912.86140973
"83",0.82,0.16,132930925.069798,1573921.67158649,6018486.02275659,10741072.7308294,12760326.5996465,13498491.1332747,10782007.2468692,10263554.3770744,10024825.8791243,9579104.00932032,9024702.70597673,8864555.75832018,7947635.15114968,6911134.36916624,5760625.92328617,3659269.77476299,2011061.4414825,3510150.27517176
"84",0.83,0.16,129327303.380285,1530373.24450636,5853511.36175854,10532621.6287525,12562723.1268168,13261278.6808619,10519715.7752648,9916060.42159641,9690455.60949396,9263724.90241928,8730734.66542655,8563611.68110658,7702582.34097296,6691266.14479452,5575544.27336272,3560923.30733064,1956776.34537417,3415399.87044658
"85",0.84,0.16,131983731.426564,1549267.45840633,5921376.40996107,10659522.109964,12663567.6921777,13389352.8876084,10705027.9168935,10149629.1587178,9912495.92332552,9473226.87990312,8926781.27318713,8769150.12364382,7941935.68037049,6919077.24232465,5770465.9330643,3680208.58025738,2022511.20742836,3530134.94933009
"86",0.85,0.16,133561678.39276,1580866.74783308,6042173.11403352,10768955.7020064,12779076.659639,13507146.0702904,10815420.9077931,10296921.0712544,10055289.9185412,9607489.56122551,9051875.33934135,8896907.53628911,8058628.88307707,7023039.94206602,5856693.53582811,3677397.14205416,2019287.69750855,3524508.5639788
"87",0.86,0.16,134316700.967617,1588432.47744694,6061593.48325444,10810674.3304135,12826503.4585504,13569513.5457559,10878425.9599708,10259813.3236537,10018086.8774503,9572144.11140654,9021280.40749581,8867030.95212745,8256825.76869611,7217580.43457272,6020216.04277505,3724186.37976504,2048644.62361725,3575748.79066525
"88",0.87,0.16,129964738.243707,1530877.63918823,5835598.93593712,10439350.1744363,12447594.522848,13186107.8252368,10498602.5507329,9928477.26681533,9698839.52928569,9269349.00349596,8736173.4857237,8578495.90141409,7944412.06065557,6932488.99903837,5781760.05309856,3648925.70655654,2006134.28380908,3501550.30543477
"89",0.88,0.16,129091353.577829,1515004.37003688,5770073.87185283,10425350.9048742,12439377.7831198,13178313.2477601,10486648.7028578,9917100.71705648,9686673.79065081,9257658.92437769,8725080.46000879,8565269.93903132,7833368.96546814,6815995.95856441,5675897.92197448,3511560.35019374,1926107.63807683,3361870.03192473
