"","relative_coverage","vaccine_efficacy","total_infections","age0","age1","age5","age10","age15","age20","age25","age30","age35","age40","age45","age50","age55","age60","age65","age70","age75","infection_per_million"
"49",48,10,149344076.950329,1774724.230035,7016865.89476279,12131149.8572206,14086938.1827056,14713948.9096164,11974809.3051163,11420371.5909165,11150458.2484565,10650002.4064656,10029987.281274,9883599.65405641,9062452.36383241,7956973.64516252,6659456.63732237,4299723.03202554,2379457.98290987,4153157.72845038,149.344076950329
"50",49,10,148302406.801017,1766882.47749989,6985248.89204085,12022550.0281634,13964833.7335504,14587835.2609945,11870044.3654032,11396847.4922896,11130697.135667,10628761.0654778,10006346.9279524,9855148.94425794,9014487.06026462,7904675.9306193,6611086.86594633,4195669.22305723,2317054.34905392,4044237.04877851,148.302406801017
"51",50,10,148893193.503747,1775804.40109385,7015179.08000173,12092046.1678632,14047500.4765514,14680628.0143528,11941540.4913395,11340799.0018151,11074152.9006038,10575782.8090846,9960499.2287242,9811617.285561,9177543.43621664,8065708.3782788,6745113.19278894,4207141.48050787,2324647.26577608,4057489.89318782,148.893193503747
"52",51,10,148061125.305325,1754440.51135235,6928241.83450355,11965657.749231,13915561.9372617,14546405.1424927,11823683.1094311,11290965.434882,11026546.7793691,10531642.7327435,9918375.34846098,9770171.89914297,9075051.11162288,7974422.1050095,6674894.23842675,4313130.36244869,2386494.8963991,4165440.11254694,148.061125305325
"53",52,10,145826190.957766,1730158.38192684,6830589.07128567,11890887.1039727,13859367.3311006,14481002.0749745,11717485.4462539,11165423.000412,10905565.1885584,10418787.8482588,9812912.77296544,9659273.77440701,8757832.64965081,7667247.1238868,6412165.00978742,4180739.7196802,2308116.94832751,4028637.51231772,145.826190957766
"54",53,10,148014001.067672,1753743.56791286,6922015.62498332,12029172.7343747,13984580.1308155,14611234.0900008,11876289.3746934,11305562.5363218,11039668.67289,10545488.2531462,9932310.52768528,9783238.16012579,8981175.9424996,7882669.6594958,6596886.22121264,4278779.75172487,2364367.44654035,4126818.37324913,148.014001067672
"55",54,10,147457259.841661,1748498.68796652,6900820.25775649,11943715.5737436,13900128.0407331,14524692.3132237,11791587.8196824,11238880.6470229,10976348.223702,10484634.2429527,9874845.6252899,9725047.2555876,9007310.62742305,7908225.37253052,6618003.30251674,4293369.64332561,2375282.48534649,4145869.7228573,147.457259841661
"56",55,10,146616097.342696,1743573.60698585,6876747.48326026,11950118.996978,13921842.0494071,14550156.9680028,11782938.0942595,11087862.7790325,10830946.876053,10348648.228358,9749992.54064309,9593814.6451599,8946864.97975968,7854123.59006495,6571379.21026141,4290027.21816579,2373791.95609525,4143268.12020879,146.616097342696
"57",56,10,145003458.946874,1718090.27833189,6771806.68830144,11818485.3217557,13792564.5071649,14424553.9740214,11666878.9593797,11011609.8299063,10753320.7184212,10272519.4113622,9678807.14882157,9528937.55411346,8939276.13031093,7845449.76959529,6554280.90532479,4065056.56601952,2244398.77594759,3917422.40809651,145.003458946874
"58",57,10,146053094.322185,1731823.81554508,6824667.23544856,11913689.2581739,13897684.9012368,14531275.1915623,11754447.7485319,11084987.6824739,10824815.9253598,10342634.6847437,9745421.15474486,9595002.65533861,8904511.95800693,7809828.59445664,6530104.21977817,4194515.67677377,2319382.66944281,4048300.95056725,146.053094322185
"59",58,10,143080450.489953,1697169.04134437,6684264.34555606,11723690.9853672,13716352.9567367,14348024.8526844,11548434.669723,10852002.6461928,10601901.110849,10131128.6381887,9546447.55539327,9386598.05412778,8686389.99225578,7603383.92543936,6351720.0733176,4055761.04046742,2239066.0506431,3908114.55166606,143.080450489953
"60",59,10,145073226.32796,1725945.96868785,6795909.54720347,11854090.5788403,13830873.6947726,14464238.9955087,11699357.7765316,11026142.2337668,10769733.0200944,10288117.7342837,9692217.89659134,9536253.071057,8888566.8462136,7792757.9558022,6509904.36629009,4055453.52928442,2237784.83078351,3905878.28224884,145.07322632796
"61",60,10,143983603.273597,1712582.11349661,6742232.56632711,11801645.4971664,13797400.8869657,14428366.5230743,11625752.903928,10876688.7090956,10624680.1274563,10153164.2366494,9568724.12091729,9411264.42592357,8784675.30800907,7698104.31414706,6432325.231342,4102395.77172443,2266901.45560625,3956699.08176775,143.983603273597
"62",61,10,143274892.956129,1702634.33613448,6700364.27124214,11635885.5245877,13610584.872384,14245839.0181693,11488694.8254228,10903952.0441258,10651110.1778481,10176172.2959767,9586823.45086173,9434260.79476371,8731015.67385465,7651603.88474994,6396397.96855725,4114455.0243431,2274732.03873675,3970366.75437108,143.274892956129
"63",62,10,144330189.021141,1716686.60210997,6752814.78104894,11774327.1446004,13757513.9541029,14393145.9630849,11620015.6056079,10901489.1503819,10647892.3356449,10175154.9794572,9588957.84587581,9435197.434599,8795143.3648419,7711655.46511675,6449483.27275019,4209196.92844336,2331705.20952016,4069808.98395529,144.330189021141
"64",63,10,144154364.360212,1718107.69852138,6758945.21980431,11799160.8620713,13787973.7051177,14417688.1927798,11634192.6546435,10900491.1589814,10646036.7347558,10172889.1124432,9587130.96060142,9434457.16914978,8798224.06011869,7714897.88363463,6448098.99312623,4103369.20311502,2270216.14229115,3962484.60905695,144.154364360212
"65",64,10,143075094.112938,1698287.45055486,6674920.00471279,11694266.4959958,13675917.7030117,14310909.2016145,11540440.7342796,10893230.0654646,10641193.2042053,10168331.6343049,9579872.26964681,9422290.57543099,8611285.88676276,7531753.19167021,6295058.73293416,4109295.25622555,2268519.11898884,3959522.58713475,143.075094112938
"66",65,10,144581035.982551,1722774.52390917,6772660.21819691,11823713.045226,13814097.9108564,14445774.8690939,11662558.9183277,10976565.3774972,10722188.8436403,10244788.153339,9652361.39256988,9494863.00945499,8780887.94112214,7693609.62442856,6430165.68709484,4110184.72205468,2270631.7411911,3963210.00454847,144.581035982551
"67",66,10,145115805.415251,1712592.18901554,6725576.71434506,11799649.1012331,13776729.6857854,14421224.9829135,11673132.7087015,11067072.48661,10808751.4792028,10327184.7607382,9728452.00936773,9573581.42361411,8780021.23146595,7694450.063709,6436637.90301143,4208055.47306738,2324849.80057503,4057843.4018955,145.115805415251
"68",67,10,146227527.185959,1741318.51201778,6836854.72884724,11905697.5513059,13879408.472541,14528857.4961823,11785941.0636906,11177976.8387585,10914116.7297909,10424963.3828709,9819874.92286625,9669966.5298287,8903842.36091782,7808398.35382303,6527454.6959276,4097934.34991044,2260097.64175554,3944823.55492437,146.227527185959
"69",68,10,141861899.115718,1676251.05788577,6578853.91565508,11627646.9675957,13630198.9937941,14266136.1095409,11470917.5670687,10817621.7467489,10566346.6374554,10097992.1560982,9515202.2746569,9357789.73110518,8514444.30236658,7438919.57840129,6213346.97609775,4011507.16564769,2214131.20820109,3864592.72739916,141.861899115718
"70",69,10,143121962.529151,1704758.22943696,6687627.0233623,11655157.1124782,13645541.9168201,14295048.9170929,11526130.3474826,10940464.4386946,10686729.4680966,10209696.6758063,9617327.97242919,9461013.4890444,8656813.8933497,7572569.24588465,6326517.45857545,4031620.62147096,2223682.30193967,3881263.4171865,143.121962529151
"71",70,10,143547662.406813,1702182.89890502,6677529.31669736,11655745.0763102,13639228.3811671,14287017.5139919,11532643.7310431,10975350.3091562,10719276.3082282,10239485.5785876,9645239.36989327,9492230.0726158,8777383.67848005,7690781.54694289,6425194.85973531,4012534.52228615,2213080.47984106,3862758.76293181,143.547662406813
"72",71,10,144101004.75784,1713157.48264642,6715230.33542443,11675182.2680438,13647837.9716546,14301536.2326292,11568712.2877388,11020409.1053727,10763292.2446288,10281580.8613968,9683947.39949636,9531454.1929768,8756141.55802276,7670825.20306796,6412846.39763353,4117912.66543417,2273216.70108329,3967721.85058987,144.10100475784
"73",72,10,143245248.482119,1704489.41332441,6681284.87957346,11656707.4748318,13643421.5494399,14287085.5269246,11522923.388519,10884847.8914603,10631771.6099841,10160200.8772851,9573401.5419129,9419799.02180013,8620410.4214184,7543487.83421375,6308790.04114314,4212122.49779682,2329151.98425649,4065352.52823484,143.245248482119
"74",73,10,143077084.425692,1701926.61918198,6663713.50942955,11655090.8263405,13644216.0236261,14306650.2337523,11545231.0310904,10848439.9221298,10595797.3118425,10124681.0276432,9540531.89570637,9384663.08576,8700014.10664761,7621088.71177831,6370175.4531527,4121112.72517105,2277883.88538072,3975868.05705924,143.077084425692
"75",74,10,143051858.267666,1699087.83377283,6656007.03128336,11649387.7202535,13635667.360089,14282231.0349694,11523341.7863167,10880942.0760037,10628927.6511341,10155685.1550736,9567917.68023024,9410507.5089916,8682947.42201534,7604627.05583215,6356227.12661285,4099884.45628809,2265032.46481116,3953436.90398862,143.051858267666
"76",75,10,143118234.490871,1700492.44454938,6657854.86870268,11623624.0628289,13601669.4037242,14254397.4555867,11516210.1788725,10943451.5173879,10688468.4792428,10210336.0913212,9617472.85115093,9463042.01461976,8701765.3858597,7616958.06876522,6362551.4095149,4039540.87750307,2229311.18585296,3891088.19538845,143.118234490871
"77",76,10,141201653.837766,1675995.41635013,6561265.19228101,11482287.3430373,13472234.9797162,14115894.185041,11355267.1008539,10772239.5929715,10524102.8164518,10056022.5308929,9473497.33302954,9315748.45105525,8535255.21117518,7465909.68224658,6239023.5527864,4038852.50281864,2228458.3354989,3889599.61155955,141.201653837766
"78",77,10,140504978.021135,1661623.38596269,6497268.62732737,11474817.013683,13479528.5081441,14141683.7608023,11357159.4864769,10726528.3682219,10479517.7513954,10013687.1259896,9434224.23151077,9271817.29261828,8485317.8624239,7410378.62816891,6185383.46468504,3934766.72593895,2167709.14826087,3783566.63952533,140.504978021135
"79",78,10,142987870.760393,1692507.01335372,6619861.68038991,11594143.4170914,13586227.5003039,14232718.2076297,11473849.9606893,10845503.457834,10593934.9926666,10123251.3386181,9538596.01267901,9384391.74944395,8722264.47697198,7646046.40611168,6394376.35530562,4185946.11064464,2314490.32902404,4039761.75163488,142.987870760393
"80",79,10,139673217.526043,1650062.47672002,6448245.48896594,11411712.6759164,13420116.3218683,14075828.7672233,11292367.0865818,10656434.1195769,10408778.6963562,9946372.85942024,9372743.68803136,9216187.77178591,8470156.55271336,7399729.73707752,6175058.86887519,3871921.68054616,2133552.26779944,3723948.46658497,139.673217526043
"81",80,10,141194131.546153,1668105.36211085,6521096.91735784,11449771.9714674,13447274.0967784,14099867.3117398,11337825.205517,10740241.8996626,10490316.7547606,10024243.7678941,9445879.36300174,9293415.02633697,8612820.92549584,7542806.50306557,6303624.21911408,4060666.26769629,2242342.54206083,3913833.41209305,141.194131546153
"82",81,10,141458540.809991,1675409.44539161,6544078.59705675,11490450.8782072,13484347.2287964,14141271.7004067,11388141.3827389,10835219.4857185,10583172.4085351,10111643.094365,9525462.36806855,9370149.69898501,8536625.17185039,7465152.18181866,6237150.47963046,4006669.11493323,2208621.54093128,3854976.03255764,141.458540809991
"83",82,10,140073952.565597,1665621.3046607,6499156.99926971,11392743.438079,13389849.4292832,14056213.614585,11296117.9851614,10782736.5886353,10535073.4828,10063827.4735019,9477629.72893751,9315360.40165506,8443002.31571409,7366077.97421083,6145524.46771014,3844734.07111976,2112711.23036013,3687572.05991292,140.073952565597
"84",83,10,139153358.978967,1646177.39847486,6425166.29945602,11297399.4868853,13298523.8647649,13959064.7418923,11192563.9448682,10659285.7053105,10414815.0656626,9951370.27874354,9374180.71522997,9213467.06730802,8404105.23507487,7338457.62374838,6127045.92309552,3921984.45773286,2159868.96320672,3769882.20751255,139.153358978967
"85",84,10,138682040.967568,1640646.94516567,6399401.06168325,11327383.6408693,13334350.8691236,13990188.9739655,11209531.1878075,10522829.1829958,10281734.093761,9827784.61875999,9262056.97260766,9099374.38503115,8367402.38759604,7308438.86371825,6103904.81014556,3979754.60881198,2195385.24900265,3831873.11652347,138.682040967568
"86",85,10,139637074.774375,1652847.22167213,6446464.92664611,11389029.0430519,13395530.6978171,14053627.5155432,11275170.7964309,10619614.4047467,10374985.4029953,9915690.09466451,9343933.34197354,9183483.3881926,8425330.75144131,7362900.47937844,6150378.90124985,3994569.39936492,2204950.27872399,3848568.13048267,139.637074774375
"87",86,10,138690215.068191,1643849.60466049,6406103.37771605,11256801.6203776,13261605.8158777,13930086.1466928,11161822.7117765,10596660.7414565,10353423.7640643,9893480.78878521,9321130.97109021,9161276.57759183,8397627.37113051,7340119.26631045,6129869.73876303,3915892.65407707,2156486.14895524,3763977.76886519,138.690215068191
