relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.31,2763713.75474711,41451.965311272143,166604.61533487198,43334.895026612387,46766.849535489295,129600.01155547825,232320.70415450141,228352.84694219229,220780.68227796126,210455.75466053278,198412.28911886574,201348.12437056296,233851.83763089159,216206.95530231274,185150.77362118068,158111.33164968173,91411.858691086207,159552.25956361659
0.01,0.31,2831515.7572782375,41784.493973352946,167805.90363183455,37628.680945538224,40648.86960211413,121972.78221417214,223373.28693887609,217811.57213718607,210527.66798828001,200715.56156937321,189336.95685110125,192284.10541578318,273813.91435388295,253449.61804410681,216879.65951020952,170704.80044262393,99357.363864419502,173420.51979538269
0.02,0.31,2548471.1998391794,37980.167875153704,152374.90632545081,41015.023879458829,44275.969498971048,110799.81670505855,191219.24736347087,187163.25317820624,181095.11562992152,172558.41054151708,162628.86079295963,164561.19496700095,258876.27832931443,239479.06546887729,204584.30626900622,154888.62629671211,89228.893384077572,155742.06333402253
0.029999999999999999,0.31,2826371.7108755605,38362.328979964092,153849.5233871665,47371.815894745916,50333.862057171573,122308.60427315207,217750.48990147875,216869.16750884845,209197.36198475753,199334.82686076724,187964.17694833133,192030.16889298643,275218.17462683201,257256.49771739851,221317.31807293542,168096.24226231087,98021.782920768906,171089.36858594482
0.040000000000000001,0.31,2417614.1817622264,35673.400681987776,142898.86040887708,43945.136300706006,47285.620038546185,108626.87844113885,183333.44443465871,183215.55649527092,177213.04918593663,168833.12989291633,159042.81002445656,161187.22444665217,230078.30819364038,211927.15379222733,181059.11665607159,148483.71670543111,85528.12114288687,149282.65492082143
0.050000000000000003,0.31,2495606.3608761104,41368.388781842477,165656.53949442797,39007.914874209717,41527.296798198724,96089.901510095631,166712.2634137951,165181.25356808858,159365.57761068319,151834.24417960283,143180.58171315814,146106.31967688681,255755.53553364263,238915.7540575547,205292.21824256598,183351.43405823866,107910.96823955081,188350.16912356834
0.059999999999999998,0.31,2637334.1299427818,37669.379428529508,150680.16816075158,40026.444392277699,43157.584069356657,120621.91690876639,217334.84267172709,213811.08995192393,206660.07061686198,196932.81528044053,185651.3072265485,188471.62573934524,247656.01063922184,229264.98021996632,196137.68149901446,140819.89933634701,81021.541559988924,141416.77224171397
0.070000000000000007,0.31,2409176.5693915901,35694.910762964028,142633.16546673258,40039.029056695319,43701.721513018681,108765.89001624478,188120.81773653382,184455.87017358732,178263.52433214022,169921.03451365285,160235.31953538812,162660.8846319436,208516.92117228324,191656.30109626296,163523.1839004301,166067.96531339883,96495.198540326688,168424.83162998685
0.080000000000000002,0.31,2669320.6556243775,38437.854718438874,153491.55840196749,43597.680289182041,46694.659110575827,124485.20576668382,224319.21852318224,217856.72665449476,210416.51692405503,200525.46250366038,189086.61206230929,192232.41706903264,228229.46993292565,211136.91392297324,180777.25200144204,157179.0553938084,91371.767674828996,159482.28467481656
0.089999999999999997,0.31,2648288.863377207,34285.258894028542,136848.05855615885,41599.112957084581,44930.619533702695,125781.55938524079,226827.62812818165,222072.41578775056,214698.51426598945,204610.96000701864,192878.65668535486,195627.96649666122,243507.01716272312,224266.35641088523,191388.990966543,134795.25225476356,78010.048985018773,136160.44690010094
0.10000000000000001,0.31,2561259.6657352755,36603.423875706831,145803.03464636725,37844.776961038013,40966.074651087176,116126.66354946767,209402.59236520081,202145.76563764212,195599.60713267198,186373.58277119949,175623.81562955506,177543.715301577,250408.95671969344,230600.21494514606,196804.23243301458,139486.67611831956,80106.643630445033,139819.88936714304
0.11,0.31,2867810.3305013422,40935.157329397363,163144.27822381273,44841.775144738618,47780.950825099666,125179.4639747902,228768.83460619178,226034.33754222596,218062.61041796164,207730.96114329636,195859.14563909333,199940.02486221434,255223.238659205,237845.36279562631,204311.19045767889,181365.37800109631,105917.27972550598,184870.34115340805
0.12,0.31,2386513.2416337854,32609.303349113663,129643.70955957791,36018.416257122924,39546.872775883741,110915.24387656381,195626.29118180502,194974.72865316868,188732.20612758514,179855.58761885905,169463.95502375861,171285.00178480698,226439.13411726285,206989.32088590576,176104.81336209475,128360.90177196925,72829.519905788271,127118.2353825188
0.13,0.31,2629232.372753141,35472.701054986377,141153.38124402412,44784.192174449905,48351.427900824929,121068.09758017545,209887.28086033242,207294.30257303562,200297.2747992088,190978.24368751197,180145.60575271957,183095.8159287404,234970.34291994848,218804.3452432203,187933.57394207868,163148.7634753758,95375.877526407814,166471.14609010081
0.14000000000000001,0.31,2780396.973871165,35114.500673748575,139629.87552419709,43871.352435342771,47289.030044959894,127603.19024991611,232550.84876585015,227774.42991316936,219846.5503656505,209477.12698843237,197561.75725659227,201367.01927125733,239156.88194732944,222231.90115916944,190390.8711987065,171972.44256170825,100006.19376275038,174553.00175238456
0.14999999999999999,0.31,2682022.3524156553,41383.22868101448,164491.86269256216,37182.227175751992,39759.477689820669,110639.07352880627,202766.85557933562,202485.06028046101,195580.04882060349,186283.52492885399,175538.19967142781,178631.49233113424,260707.26586906065,243994.24353085569,209600.08889888658,166270.02564879425,97147.063460919715,169562.61362736675
0.16,0.31,2575268.7247795258,36133.363457594533,143277.26169307329,38207.031331944716,41062.25860183646,111992.46893169711,202060.09080836026,197115.78390697559,190437.51474484854,181472.00693160098,171119.04067847528,173869.62919212584,246720.10829853706,228533.37214501429,195405.00694522652,161480.88976872733,93385.609537093114,162997.28780639532
