relative_coverage,vaccine_efficacy,total_population,total_unvaccinated,total_vaccinated,unvaccinated_total_infections,vaccinated_total_infections
0.0,0.31,323127513.0,323127513.0,0.0,215446126.6124571,0.0
0.01,0.31,323127513.0,320350599.93143761,2776913.0685623842,215852510.81335154,1634510.93126105
0.02,0.31,323127513.0,317573686.86287522,5553826.1371247685,210276534.44137385,3178817.5094553069
0.029999999999999999,0.31,323127513.0,314796773.79431295,8330739.2056871494,229755618.32335106,5384255.6155501548
0.040000000000000001,0.31,323127513.0,312019860.72575045,11107652.274249537,210549189.11258265,6506980.00059014
0.050000000000000003,0.31,323127513.0,309242947.65718806,13884565.342811918,223679684.36702549,8864157.7086201832
0.059999999999999998,0.31,323127513.0,306466034.58862567,16661478.411374299,208612428.3886618,9872151.1960158385
0.070000000000000007,0.31,323127513.0,303689121.52006334,19438391.479936689,196478657.35222408,10895804.182150755
0.080000000000000002,0.31,323127513.0,300912208.45150083,22215304.548499074,208421181.68916377,13434973.70480546
0.089999999999999997,0.31,323127513.0,298135295.38293856,24992217.617061447,200739607.73586568,14664408.505649738
0.10000000000000001,0.31,323127513.0,295358382.31437612,27769130.685623836,198877917.07775646,16173161.686128335
0.11,0.31,323127513.0,292581469.24581379,30546043.754186217,210679637.12128016,19406949.835080132
0.12,0.31,323127513.0,289804556.1772514,33322956.822748598,179359535.58440223,17623181.653385937
0.13,0.31,323127513.0,287027643.10868901,36099869.89131099,196141814.24042684,21633995.612147279
0.14000000000000001,0.31,323127513.0,284250730.04012662,38876782.959873378,195977939.07134533,23404966.746979028
0.14999999999999999,0.31,323127513.0,281473816.97156435,41653696.028435752,202801357.43627465,26330430.52020023
0.16,0.31,323127513.0,278696903.90300184,44430609.096998148,189736236.86489624,26320350.462324098
0.17000000000000001,0.31,323127513.0,275919990.83443952,47207522.165560521,189212632.49618009,28092263.707738012
0.17999999999999999,0.31,323127513.0,273143077.76587713,49984435.234122895,186353157.46036384,29847651.306465305
0.19,0.31,323127513.0,270366164.69731474,52761348.302685291,188262883.12312394,32039847.471954431
0.20000000000000001,0.31,323127513.0,267589251.62875229,55538261.371247672,172410234.72377011,30962490.297277279
0.20999999999999999,0.31,323127513.0,264812338.56018996,58315174.43981006,188247256.85049736,36238056.079990685
0.22,0.31,323127513.0,262035425.49162751,61092087.508372433,179753863.13637647,36463350.318795972
0.23000000000000001,0.31,323127513.0,259258512.42306516,63869000.576934822,182781846.25598076,39334517.540242508
0.23999999999999999,0.31,323127513.0,256481599.35450286,66645913.645497195,171941187.72217187,38646508.708065301
0.25,0.31,323127513.0,253704686.28594044,69422826.714059606,164231138.56159353,38670126.68467582
0.26000000000000001,0.31,323127513.0,250927773.21737808,72199739.78262198,158220607.9317444,39489851.832263485
0.27000000000000002,0.31,323127513.0,248150860.1488156,74976652.851184353,178585119.84469819,47030456.532534316
0.28000000000000003,0.31,323127513.0,245373947.08025321,77753565.919746757,157138947.65754703,42831460.515080124
0.28999999999999998,0.31,323127513.0,242597034.01169086,80530478.988309115,165737398.27813178,47897112.316114739
0.29999999999999999,0.31,323127513.0,239820120.9431285,83307392.056871504,150406857.2938365,44811170.736591958
0.31,0.31,323127513.0,237043207.87456617,86084305.125433862,156283569.00501227,48741759.99152524
0.32000000000000001,0.31,323127513.0,234266294.80600372,88861218.193996295,157429934.45004112,51791153.386124045
0.33000000000000002,0.31,323127513.0,231489381.73744133,91638131.262558669,158804654.09799784,54486071.062361613
0.34000000000000002,0.31,323127513.0,228712468.66887897,94415044.331121042,159436175.38577461,56752471.202994697
0.35000000000000003,0.31,323127513.0,225935555.60031658,97191957.399683416,155407318.35849595,57580472.906664409
0.35999999999999999,0.31,323127513.0,223158642.5317542,99968870.468245789,143763304.98033553,54947536.809483878
0.37,0.31,323127513.0,220381729.46319181,102745783.53680819,154858895.05107719,62440548.914357804
0.38,0.31,323127513.0,217604816.39462939,105522696.60537058,128512568.37905432,52938136.647415102
0.39000000000000001,0.31,323127513.0,214827903.326067,108299609.67393298,138887492.2443805,59668920.378790163
0.40000000000000002,0.31,323127513.0,212050990.2575047,111076522.74249534,130307580.87342614,58291187.947898224
