relative_coverage,vaccine_efficacy,total_population,total_unvaccinated,total_vaccinated,unvaccinated_total_infections,vaccinated_total_infections
0.0,0.001,323127513.0,323127513.0,0.0,158274015.09225836,0.0
0.01,0.001,323127513.0,320350599.93143761,2776913.0685623838,209511463.32029253,1759115.5607380136
0.02,0.001,323127513.0,317573686.86287516,5553826.1371247675,182370261.71864671,3139951.7685455843
0.029999999999999999,0.001,323127513.0,314796773.79431289,8330739.2056871485,199088031.40658545,5117870.6013551811
0.040000000000000001,0.001,323127513.0,312019860.72575051,11107652.274249535,168957357.2814886,5806981.5325355139
0.050000000000000003,0.001,323127513.0,309242947.65718806,13884565.342811918,211141180.88586849,9215815.4551750459
0.059999999999999998,0.001,323127513.0,306466034.58862573,16661478.411374297,204619966.09512234,10823591.952599695
0.070000000000000007,0.001,323127513.0,303689121.52006334,19438391.479936689,170087644.75055686,10598552.146511583
0.080000000000000002,0.001,323127513.0,300912208.45150089,22215304.54849907,180989203.42221546,13000064.10102595
0.089999999999999997,0.001,323127513.0,298135295.3829385,24992217.617061447,215828474.30418372,17504216.914781585
0.10000000000000001,0.001,323127513.0,295358382.31437606,27769130.685623836,184479336.65860516,16947114.357829802
0.11,0.001,323127513.0,292581469.24581379,30546043.75418622,143383300.23105082,14400795.950759331
0.12,0.001,323127513.0,289804556.1772514,33322956.822748594,221579144.64095965,24936501.828283377
0.13,0.001,323127513.0,287027643.10868895,36099869.89131099,157226800.10958633,19089488.272671364
0.14000000000000001,0.001,323127513.0,284250730.04012668,38876782.959873378,122112752.14968708,16280111.654059451
0.14999999999999999,0.001,323127513.0,281473816.97156429,41653696.028435752,222741812.39965287,31857869.784203012
0.16,0.001,323127513.0,278696903.90300184,44430609.09699814,70687843.293688297,10818705.266149165
0.17000000000000001,0.001,323127513.0,275919990.8344394,47207522.165560506,163523630.34548301,27312948.707544755
0.17999999999999999,0.001,323127513.0,273143077.76587713,49984435.234122895,212727809.14253154,37856837.645004563
0.19,0.001,323127513.0,270366164.69731468,52761348.302685283,147347146.56427044,27709880.482990574
0.20000000000000001,0.001,323127513.0,267589251.62875232,55538261.371247672,125612020.93039818,25176640.958103754
0.20999999999999999,0.001,323127513.0,264812338.56019002,58315174.439810053,167108734.20171991,35119458.662807509
0.22,0.001,323127513.0,262035425.49162754,61092087.508372441,172553752.40475744,38654548.318841428
0.23000000000000001,0.001,323127513.0,259258512.42306513,63869000.576934829,131864321.35693307,31540402.624938376
0.23999999999999999,0.001,323127513.0,256481599.35450283,66645913.645497188,143005897.62948531,35766781.302032746
0.25,0.001,323127513.0,253704686.28594047,69422826.714059591,147587781.35786501,38855907.465044305
0.26000000000000001,0.001,323127513.0,250927773.21737805,72199739.78262198,192318652.92838854,52959754.66311945
0.27000000000000002,0.001,323127513.0,248150860.14881563,74976652.851184353,130022543.60085499,37881469.741965845
0.28000000000000003,0.001,323127513.0,245373947.08025321,77753565.919746757,185028898.97260147,57064079.331290677
0.28999999999999998,0.001,323127513.0,242597034.01169094,80530478.988309115,153114185.04557222,48887283.240909494
0.29999999999999999,0.001,323127513.0,239820120.9431285,83307392.056871504,128901081.25445373,42681738.220938288
0.31,0.001,323127513.0,237043207.87456614,86084305.125433892,116116992.38601153,40393512.104476213
0.32000000000000001,0.001,323127513.0,234266294.80600372,88861218.19399628,144151629.10991022,52350095.162855171
0.33000000000000002,0.001,323127513.0,231489381.7374413,91638131.262558669,134145540.00560829,51324481.704355724
0.34000000000000002,0.001,323127513.0,228712468.66887897,94415044.331121013,141735601.49360865,56330720.59852691
0.35000000000000003,0.001,323127513.0,225935555.60031658,97191957.399683446,118579749.99761915,49161391.93966572
0.35999999999999999,0.001,323127513.0,223158642.5317542,99968870.468245789,99079345.717650369,43242124.401215196
0.37,0.001,323127513.0,220381729.46319181,102745783.53680821,106463456.86715026,47639455.448617958
0.38,0.001,323127513.0,217604816.39462942,105522696.60537057,156596496.71610528,72827389.956292644
0.39000000000000001,0.001,323127513.0,214827903.32606703,108299609.67393298,132959380.46331534,63889168.390504502
0.40000000000000002,0.001,323127513.0,212050990.25750467,111076522.74249534,121786648.73957154,61166936.579564348
0.41000000000000003,0.001,323127513.0,209274077.18894225,113853435.81105776,95618157.892774031,49394456.367346615
0.41999999999999998,0.001,323127513.0,206497164.12037989,116630348.87962011,147448609.51510674,80235573.550230473
0.42999999999999999,0.001,323127513.0,203720251.05181748,119407261.94818251,110062224.30509493,61185572.401477896
0.44,0.001,323127513.0,200943337.98325515,122184175.01674488,135902542.59531969,78614965.067181528
0.45000000000000001,0.001,323127513.0,198166424.9146927,124961088.08530729,107860904.77513222,64739233.368918516
0.46000000000000002,0.001,323127513.0,195389511.84613034,127738001.15386966,137710562.90267685,85552695.813698679
0.47000000000000003,0.001,323127513.0,192612598.77756795,130514914.22243205,91793336.011573553,59745978.296318665
0.47999999999999998,0.001,323127513.0,189835685.70900559,133291827.29099438,112036103.23997529,75404520.31670101
0.48999999999999999,0.001,323127513.0,187058772.64044327,136068740.35955676,108618887.71999359,75505798.662641972
0.5,0.001,323127513.0,184281859.57188082,138845653.42811918,105203402.45462039,75760374.876530617
0.51000000000000001,0.001,323127513.0,181504946.5033184,141622566.4966816,109592441.54897484,81763907.151289463
0.52000000000000002,0.001,323127513.0,178728033.43475604,144399479.56524396,104515648.67666388,79081261.132981807
0.53000000000000003,0.001,323127513.0,175951120.36619371,147176392.63380632,106134026.66739348,83406136.58956632
0.54000000000000004,0.001,323127513.0,173174207.29763129,149953305.70236871,121763681.24583843,100962962.22021645
0.55000000000000004,0.001,323127513.0,170397294.22906885,152730218.77093115,103442386.57313329,89317073.683471173
0.56000000000000005,0.001,323127513.0,167620381.16050649,155507131.83949351,121878155.05226183,107030851.38715115
0.57000000000000006,0.001,323127513.0,164843468.09194416,158284044.90805584,104178745.74398799,94562795.393912315
0.57999999999999996,0.001,323127513.0,162066555.02338174,161060957.97661823,88785397.071902066,83675441.357241958
0.58999999999999997,0.001,323127513.0,159289641.95481938,163837871.04518062,114358843.82005462,110658748.59692267
0.59999999999999998,0.001,323127513.0,156512728.88625699,166614784.11374301,110493533.76315324,111714547.47023317
0.60999999999999999,0.001,323127513.0,153735815.8176946,169391697.1823054,86100745.999336272,90029175.726854771
0.62,0.001,323127513.0,150958902.74913222,172168610.25086778,86776481.777788609,94202925.79633978
0.63,0.001,323127513.0,148181989.68056986,174945523.31943014,110316790.04788396,122567732.6042114
0.64000000000000001,0.001,323127513.0,145405076.61200744,177722436.38799256,81362393.893865258,94940829.837146819
0.65000000000000002,0.001,323127513.0,142628163.54344505,180499349.45655495,75161311.04860048,91467996.962444574
0.66000000000000003,0.001,323127513.0,139851250.47488266,183276262.52511734,108823508.60982414,134388012.23570037
0.67000000000000004,0.001,323127513.0,137074337.4063203,186053175.5936797,76054116.567626864,99004058.896476984
0.68000000000000005,0.001,323127513.0,134297424.33775797,188830088.66224203,90539863.365964919,119580781.95834513
0.69000000000000006,0.001,323127513.0,131520511.26919553,191607001.73080447,87216804.202653572,118303743.7251538
0.70000000000000007,0.001,323127513.0,128743598.20063312,194383914.79936689,90063983.991956562,128398623.95299873
0.70999999999999996,0.001,323127513.0,125966685.13207078,197160827.86792922,62394818.34039104,91949573.712965265
0.71999999999999997,0.001,323127513.0,123189772.06350842,199937740.93649158,59573738.304187439,92378807.139267355
0.72999999999999998,0.001,323127513.0,120412858.994946,202714654.005054,49702656.766480885,79559591.9910485
0.73999999999999999,0.001,323127513.0,117635945.92638364,205491567.07361642,48029445.36391779,76809429.95341666
0.75,0.001,323127513.0,114859032.85782126,208268480.14217874,55161243.427353956,93587011.932233781
0.76000000000000001,0.001,323127513.0,112082119.78925887,211045393.21074113,78650240.841799289,136401989.50117049
0.77000000000000002,0.001,323127513.0,109305206.72069645,213822306.27930355,75112572.483431339,133850821.59989485
0.78000000000000003,0.001,323127513.0,106528293.65213408,216599219.34786597,62769164.835627161,119170796.6222084
0.79000000000000004,0.001,323127513.0,103751380.5835717,219376132.41642827,39803700.510038376,76505537.942958772
0.80000000000000004,0.001,323127513.0,100974467.5150093,222153045.48499069,56490855.303626478,113212848.45107758
0.81000000000000005,0.001,323127513.0,98197554.446446925,224929958.55355304,69754125.074798316,149166402.89828902
0.82000000000000006,0.001,323127513.0,95420641.377884537,227706871.62211552,67185279.765551448,147557827.4614003
0.83000000000000007,0.001,323127513.0,92643728.309322149,230483784.69067782,43527474.637601592,99352095.034661964
0.83999999999999997,0.001,323127513.0,89866815.240759805,233260697.75924021,47795611.843083315,114952716.99558382
0.84999999999999998,0.001,323127513.0,87089902.172197431,236037610.82780257,61010617.009791873,151287458.4525314
0.85999999999999999,0.001,323127513.0,84312989.103635043,238814523.89636502,56104449.522211,139038077.24418876
0.87,0.001,323127513.0,81536076.035072654,241591436.96492735,44563226.870143242,119024938.15585478
0.88,0.001,323127513.0,78759162.966510251,244368350.03348976,51175726.546565466,141508390.17198798
0.89000000000000001,0.001,323127513.0,75982249.897947878,247145263.10205215,47404409.139864162,136270514.18195704
0.90000000000000002,0.001,323127513.0,73205336.829385489,249922176.17061457,48990919.146384612,151385570.2167083
0.91000000000000003,0.001,323127513.0,70428423.760823101,252699089.2391769,45781669.556053236,148067468.16769013
0.92000000000000004,0.001,323127513.0,67651510.692260712,255476002.30773932,26266908.415776331,90159328.295888275
0.93000000000000005,0.001,323127513.0,64874597.623698331,258252915.37630168,30651748.505324047,108727867.67394686
