relative_coverage,vaccine_efficacy,total_population,total_unvaccinated,total_vaccinated,unvaccinated_total_infections,vaccinated_total_infections
0.0,0.31,323127513.0,323127513.0,0.0,190768162.80158877,0.0
0.01,0.31,323127513.0,320350599.93143761,2776913.0685623842,183135560.95825732,1408934.3164911172
0.02,0.31,323127513.0,317573686.86287522,5553826.1371247685,174811408.70875281,2686667.8730785456
0.029999999999999999,0.31,323127513.0,314796773.79431295,8330739.2056871494,187364813.82697147,4342362.3284069486
0.040000000000000001,0.31,323127513.0,312019860.72575045,11107652.274249537,181740990.13182405,5733439.645271535
0.050000000000000003,0.31,323127513.0,309242947.65718806,13884565.342811918,170649305.1901468,6737878.1604417004
0.059999999999999998,0.31,323127513.0,306466034.58862567,16661478.411374299,175376668.57700479,8400315.3636608794
0.070000000000000007,0.31,323127513.0,303689121.52006334,19438391.479936689,166832725.58541739,9407078.6659823172
0.080000000000000002,0.31,323127513.0,300912208.45150083,22215304.548499074,168224038.24035212,10962219.02330851
0.089999999999999997,0.31,323127513.0,298135295.38293856,24992217.617061447,182361183.6864416,13323162.358476512
0.10000000000000001,0.31,323127513.0,295358382.31437612,27769130.685623836,173251609.45377117,14309404.094883416
0.11,0.31,323127513.0,292581469.24581379,30546043.754186217,158903874.04380623,14623764.680936823
0.12,0.31,323127513.0,289804556.1772514,33322956.822748598,152885271.42722079,15620565.082475808
0.13,0.31,323127513.0,287027643.10868901,36099869.89131099,168307081.0356338,18678493.156072531
0.14000000000000001,0.31,323127513.0,284250730.04012662,38876782.959873378,146107462.27389687,17281000.970238343
0.14999999999999999,0.31,323127513.0,281473816.97156435,41653696.028435752,170976748.09423402,22274657.470392056
0.16,0.31,323127513.0,278696903.90300184,44430609.096998148,167608583.3104347,23551056.286127716
0.17000000000000001,0.31,323127513.0,275919990.83443952,47207522.165560521,158495541.5334723,23660640.072734248
0.17999999999999999,0.31,323127513.0,273143077.76587713,49984435.234122895,150104339.61206549,24072574.570436813
0.19,0.31,323127513.0,270366164.69731474,52761348.302685291,152764465.49253455,25954777.895500291
0.20000000000000001,0.31,323127513.0,267589251.62875229,55538261.371247672,165119104.27947563,30406205.379366025
0.20999999999999999,0.31,323127513.0,264812338.56018996,58315174.43981006,119020831.08011751,22647032.316599943
0.22,0.31,323127513.0,262035425.49162751,61092087.508372433,140284948.80081114,28566126.285762299
0.23000000000000001,0.31,323127513.0,259258512.42306516,63869000.576934822,143493079.07660943,31116665.349698171
0.23999999999999999,0.31,323127513.0,256481599.35450286,66645913.645497195,146606625.54728794,32855120.11079061
0.25,0.31,323127513.0,253704686.28594044,69422826.714059606,168575394.81725952,40526665.090403333
0.26000000000000001,0.31,323127513.0,250927773.21737808,72199739.78262198,132405511.49672513,33129008.635203212
0.27000000000000002,0.31,323127513.0,248150860.1488156,74976652.851184353,139068394.84383246,36436915.1855921
0.28000000000000003,0.31,323127513.0,245373947.08025321,77753565.919746757,124724860.69706421,34613408.327072397
0.28999999999999998,0.31,323127513.0,242597034.01169086,80530478.988309115,136969826.10311425,39406284.39995487
0.29999999999999999,0.31,323127513.0,239820120.9431285,83307392.056871504,119684697.13137273,36144246.834944956
0.31,0.31,323127513.0,237043207.87456617,86084305.125433862,129531684.16908754,41215067.103206113
0.32000000000000001,0.31,323127513.0,234266294.80600372,88861218.193996295,124372078.2135624,41180884.526146762
0.33000000000000002,0.31,323127513.0,231489381.73744133,91638131.262558669,100059340.87279063,34303152.034898169
0.34000000000000002,0.31,323127513.0,228712468.66887897,94415044.331121042,105360222.01016517,38161901.248472199
0.35000000000000003,0.31,323127513.0,225935555.60031658,97191957.399683416,123282901.6010467,46262057.907037251
0.35999999999999999,0.31,323127513.0,223158642.5317542,99968870.468245789,125651845.55853797,49636407.628367148
0.37,0.31,323127513.0,220381729.46319181,102745783.53680819,114946584.62949567,46517977.893337123
0.38,0.31,323127513.0,217604816.39462939,105522696.60537058,122105734.36441101,51261131.601931743
0.39000000000000001,0.31,323127513.0,214827903.326067,108299609.67393298,100335871.80237393,44266212.198177822
0.40000000000000002,0.31,323127513.0,212050990.2575047,111076522.74249534,117969511.0602566,54094352.101210184
0.41000000000000003,0.31,323127513.0,209274077.18894222,113853435.81105778,113729569.6949912,53140279.466981068
0.41999999999999998,0.31,323127513.0,206497164.12037989,116630348.87962012,92103928.986999467,44940299.115227394
0.42999999999999999,0.31,323127513.0,203720251.05181748,119407261.94818246,114740154.61100993,58515388.72305949
0.44,0.31,323127513.0,200943337.98325515,122184175.01674487,132083418.63413221,70592572.225377232
0.45000000000000001,0.31,323127513.0,198166424.9146927,124961088.08530726,115447646.01279812,63231092.777991444
0.46000000000000002,0.31,323127513.0,195389511.84613034,127738001.15386964,105257360.5397208,59708668.386557125
0.47000000000000003,0.31,323127513.0,192612598.77756801,130514914.22243202,112829552.11156517,65918557.955285557
0.47999999999999998,0.31,323127513.0,189835685.70900559,133291827.29099439,80066441.008150429,48265852.596209913
0.48999999999999999,0.31,323127513.0,187058772.64044327,136068740.35955679,91026890.952053428,56757848.098509729
0.5,0.31,323127513.0,184281859.57188079,138845653.42811921,78510451.824310452,50519579.28266082
0.51000000000000001,0.31,323127513.0,181504946.50331843,141622566.49668157,90837603.629753679,60617665.692212082
0.52000000000000002,0.31,323127513.0,178728033.43475601,144399479.56524396,94805701.670485765,66573372.661586955
0.53000000000000003,0.31,323127513.0,175951120.36619365,147176392.63380635,94739752.274550915,68112928.562389791
0.54000000000000004,0.31,323127513.0,173174207.29763129,149953305.70236871,83522461.311569214,62416553.047042221
