relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.31,2295138.3567174738,32342.994835631427,129993.64163055205,41019.552956994186,43623.64062636187,104713.81517448356,187628.34598828165,186359.15452611368,179514.46963669584,171022.91534492836,161360.70636931519,165425.92628491015,192565.40842934142,179939.68639035421,154553.20224132447,139994.93671895261,81983.742232532255,143096.21733070069
0.01,0.31,2157432.6842475478,32867.815010110004,132011.05943683925,33415.285201914172,35715.71465162863,85466.106560423461,149644.50009423212,148380.02352333028,143206.42476339889,136480.89007765808,128767.6783693575,131453.11538936774,220663.77288831238,207104.228924172,178142.51056645362,150307.83092705227,88804.467170800825,155001.26069249643
0.02,0.31,2071458.5012361577,33098.934721692473,132823.80070088012,33499.057805043187,36375.583529430449,88486.441888071509,152502.76837298414,149516.92067729981,144412.42888339653,137773.75230444432,130071.06030161986,132446.72704577676,209253.85232386529,194570.34032080686,166999.87924801282,126115.15597832881,74127.695568771742,129384.10156573317
0.029999999999999999,0.31,2186135.3031908376,33541.665114151052,134500.38277382599,36907.678827504089,39366.489660063773,96863.542090672272,169417.31989307009,165607.73786258796,160061.09241403177,152565.52180656913,143851.25398748426,146078.23635407281,202533.97161720853,187756.22848209488,160761.54639380946,136989.37163092059,79890.550200546699,139442.7140822245
0.040000000000000001,0.31,2349597.1466792137,34025.005648860242,136357.72689363596,33995.239892825513,36369.814272006537,102129.47387120256,191154.54520193196,190930.96781225674,184073.84324399367,175357.05611106745,165383.77195911764,169242.4918611031,197804.0767838074,185162.75815824859,159338.68552666929,147907.32172518305,87550.976521422097,152813.39119588168
0.050000000000000003,0.31,1975576.618048365,33661.891542730547,134781.75377343202,35890.714768539438,38260.446008141662,88140.41891474172,150052.91365340096,149868.83781418949,144791.29367609741,137994.12801752862,130105.80509022941,132303.26617439813,175339.05642294977,163264.25766985028,139981.52778558197,124110.78398641889,71766.574575111241,125262.94817502348
0.059999999999999998,0.31,2124575.2138582133,30613.44018472009,122501.82891762684,38451.179653798965,41144.651094082656,93056.578095120261,157199.25573662552,154695.26449196285,149401.27329308368,142434.20117173879,134380.82044598498,136778.42109501845,209971.98604897424,194716.94454718477,166757.08962535264,135169.20649337952,79151.068096072369,138152.00486748668
0.070000000000000007,0.31,2085723.991391968,27892.489636548067,111520.43215873856,33115.937181572539,35490.012932275546,91495.771019949534,163348.47046300225,162707.76574391138,157073.00702427508,149749.11228844285,141270.51342558666,144047.67811659098,182518.60537539981,169679.98425094315,145780.20665836908,141415.38377432537,83272.674196017615,145345.9471460192
0.080000000000000002,0.31,2014008.3541058188,32813.700198749153,131121.74936261695,37151.283887022561,39877.332055020954,85055.016790773167,142504.89158655427,136696.94106075895,131937.57015719879,125784.80453264361,118720.32699555159,120961.67022135656,205441.66269410931,191111.26604507177,163829.93866596694,134751.61162021139,78766.979553056066,137481.60867915649
0.089999999999999997,0.31,2287503.675785068,33867.036394221417,135108.92184331044,36077.203987930392,39283.778558926031,98563.981164792145,171455.31039443761,169194.21882083296,163456.62447435339,155863.66892989239,147054.11310581639,149507.42209989027,204022.88931540272,188387.59048527881,161029.30681600014,167621.68101305506,97256.428885108151,169753.49949581965
