relative_coverage,vaccine_efficacy,total_infections,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.01,155419882.10636076,1886892.1082638321,7583835.6778945969,11678065.168637056,12842998.790435487,13278847.214022413,11936858.865227988,11725867.065500142,11359133.631889598,10839173.056316881,10223891.419058874,10325069.290937681,9899683.7469353955,9102327.2894755825,7784048.2026416967,5740520.5317956861,3355648.2623390974,5857021.7849887665
0.01,0.01,183419014.85236475,2268192.5038037463,9116200.0791643783,13468959.941174209,14367885.103242218,14814402.016800234,14053090.036078028,13746072.30134022,13263651.058163552,12643542.343376601,11931164.979940994,12178390.909542246,12224949.709440572,11456473.976031816,9856473.5185952764,6902694.8261989895,4052882.2229285478,7073989.3265431356
0.02,0.01,166659038.59303927,2040664.3299522316,8201538.2661454268,12454072.904916596,13572568.260533987,14019857.516052339,12821896.24889965,12728700.051687004,12297787.665144779,11727572.707237924,11067795.925277503,11254936.857039027,10973329.324463541,10175777.446695389,8706194.4009500295,5653066.8946981989,3264809.6780407876,5698470.1153048417
0.029999999999999999,0.01,189792952.07779372,2349910.3459723578,9444240.2873091158,14104965.954034917,15157537.242951728,15640723.654585756,14649782.0883469,14205992.934797511,13724138.198203674,13084924.749922482,12344824.564444792,12555058.482838545,12505325.127168206,11670681.890297569,10025727.430544915,7015722.8574390532,4120822.4939786135,7192573.7749576028
0.040000000000000001,0.01,162248481.05147612,1994435.1593459183,8015422.9785893774,12304229.330868084,13390794.102339203,13825403.928090692,12687483.832182167,12227879.510817789,11821587.878963796,11276572.198388813,10643905.728576183,10798228.377676584,10564616.294067215,9756628.3968908526,8337503.7204990871,5625205.7700159252,3270384.0671286094,5708199.7770358017
0.050000000000000003,0.01,191261038.86867872,2341841.8038243037,9411453.580898637,14101288.823981522,15136090.944467671,15621112.66363214,14654301.733048718,14397906.739777001,13899786.555825092,13252053.09599621,12504410.568769649,12742493.040190112,12492504.498416353,11632342.189859461,9991594.5254461411,7290795.6813420169,4294808.9129666062,7496253.5102370931
0.059999999999999998,0.01,170952761.32466963,2120910.0365095939,8523347.6708983369,12850683.651802966,13855082.663268872,14301113.739734188,13314416.840944571,13047377.110966604,12610362.925011292,12020589.020606551,11335343.544617532,11512775.532710848,11088736.752015907,10260778.281887215,8781782.406131845,5914965.4365611216,3429161.7909172811,5985333.9200849198
0.070000000000000007,0.01,180880547.86674961,2256478.8682006164,9067891.5976117235,13693792.299601637,14814088.544183571,15299720.079959732,14057910.860093456,13742044.636471197,13288656.949928906,12671627.663582478,11951667.524084616,12117096.221233189,11532355.846680224,10602062.400752395,9057329.5839149412,6446825.2403631303,3744779.5056223418,6536220.0444654776
0.080000000000000002,0.01,205216577.75157195,2545917.7892091069,10231074.719398523,15081913.712906728,16055820.933227403,16558503.608315503,15746511.252013497,15411375.514930608,14871832.976277549,14174585.274413371,13372803.966192177,13644607.09457089,13571643.147405012,12699661.685285499,10924546.783607481,7770750.9277162086,4573077.9455246665,7981950.4205777617
0.089999999999999997,0.01,177654992.1991711,2219514.4950928129,8918945.8737101071,13640011.097432258,14927953.472361473,15424477.668052828,13933206.716838485,13520651.936292265,13089773.209257433,12487463.485461237,11779332.160895349,11903804.424462054,11083619.94495951,10099265.072910992,8600197.2645044941,6198036.3705541734,3580046.8953142529,6248692.1110713724
0.10000000000000001,0.01,198460142.63810366,2488047.4806190752,9998139.823635662,14595251.146409484,15517249.627998667,16004326.470343368,15229005.830003323,14981114.379269399,14457630.731898051,13778013.487976586,12995387.010357713,13260427.091004178,12921169.946430916,12043534.347823134,10349228.686470695,7565344.8865450574,4471542.8562549287,7804728.835063437
0.11,0.01,193894939.92128929,2439783.561639491,9804010.4200327937,14232048.306857469,15204976.289263001,15689874.240911067,14812128.827146448,14772797.910352401,14250668.123984583,13585142.374713356,12818267.475480631,13097933.773565572,12599601.673442731,11758599.91705377,10111648.771177966,7177780.1418688856,4203244.0084986696,7336434.1053004619
0.12,0.01,186688131.0696986,2345736.3725991645,9425989.1973489765,13763848.456870323,14724044.936053313,15195552.067175902,14320101.540750274,14122657.349830415,13636212.88365794,12997301.678558979,12259172.871990962,12492023.254294472,12192187.485734779,11340368.674267681,9733614.7005183827,6958019.6128741968,4072707.3850886305,7108592.6020842241
0.13,0.01,191579738.85035434,2371454.7107204567,9528988.1509756278,14193472.888251917,15280220.366045,15767584.541645562,14694793.497448385,14521452.441578664,14020424.35132359,13369706.722297587,12616940.532992246,12857109.314649306,12469018.347123833,11614547.611290526,9975884.2865078915,7034333.8577206191,4102760.0475058551,7161047.182277251
0.14000000000000001,0.01,179617842.30612469,2226661.6382449395,8946684.6018767059,13761120.005042341,14998636.288372476,15489017.34566281,14131766.174094282,13690968.822905302,13243095.049060101,12633523.528510334,11920249.013076041,12073739.790563056,11311950.834590802,10380189.692865876,8859973.781532675,6146151.0374052413,3571077.6718390663,6233037.0304826088
0.14999999999999999,0.01,172402110.98035917,2136721.2475664648,8585379.8568675406,12819315.925307855,13774898.758243354,14223341.967820907,13300548.678768234,13128821.299098926,12682956.095657622,12088884.22997847,11399863.133312823,11595730.152384982,11214350.986046283,10410644.039926594,8925020.0863119196,6188589.7477408955,3615854.0559243369,6311190.7194020078
0.16,0.01,182883095.07356873,2250071.2526311227,9040706.6105418708,13441255.692731578,14481386.206944723,14952355.628013203,13944516.800551007,13929467.144357216,13443151.544480994,12815214.637794895,12093391.125265848,12340408.175113542,12328146.905202292,11558018.605686463,9930312.4702276643,6296172.1676733932,3656458.1336416691,6382061.9727112539
0.17000000000000001,0.01,187542049.12662399,2323597.0965135237,9335842.8160157893,14097091.291009564,15187514.698551571,15675118.167585835,14572851.754843097,14274195.318239134,13788260.598757248,13148671.95165631,12406523.338938527,12617018.377407322,12045808.598011978,11143990.517393779,9544282.120036114,6696313.2364814691,3891922.5259123705,6793046.7192703709
0.17999999999999999,0.01,170020976.20216623,2101656.5572450124,8444166.0196790472,12528418.010207847,13523518.334233588,13966657.297016006,13004451.30625456,13069764.115936186,12620091.20968435,12033043.096286822,11350936.787147639,11568069.571075607,10817360.777925787,10011866.358359331,8587337.0775375217,6286103.4372516461,3681596.7601465671,6425939.4861786878
0.19,0.01,173485813.36961341,2162867.4599862061,8689673.9765142854,13215406.693747545,14286132.931328421,14744560.706718056,13620766.711700577,12984354.643986875,12555865.119204272,11972699.791786551,11296207.284970272,11447605.938617852,11341836.487798331,10506257.91719714,8987738.0883867331,6025591.2551330719,3514304.4923755787,6133943.8701616554
0.20000000000000001,0.01,199486234.5675559,2502759.5250502396,10055448.073339282,14833808.843402639,15827430.028091123,16321832.778797127,15469649.789036352,15068701.907631651,14538596.004648006,13855111.312827563,13071266.534669358,13336411.752189236,13120275.018907396,12244879.912134023,10512092.134153794,7175789.8139597559,4207798.1442957828,7344382.9944226053
0.20999999999999999,0.01,177751310.43238267,2220360.3035245407,8920380.1350574419,13333049.179327164,14467234.845552308,14937128.187538793,13734776.332049837,13204178.246613409,12767309.094147548,12178635.923735838,11495541.056523211,11664503.383332593,11728388.579448937,10907096.759785993,9350098.9525142834,6462868.2247409914,3780752.7279343861,6599008.5005553989
0.22,0.01,177208677.32213196,2196906.8510494549,8826108.7964196093,13118396.53223568,14181596.758233204,14640057.025496971,13604139.112395642,13551803.910978442,13083041.604734154,12472930.295881102,11768442.994279046,11997707.769101638,11543280.105252003,10734049.619204186,9205411.0313040186,6257835.3015980013,3652250.950885457,6374718.6630833503
