relative_coverage,vaccine_efficacy,total_hospitalizations,age0,age1,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75
0.0,0.01,1776606.5646846814,24955.124294212721,100300.15120929488,27658.012046417549,30502.060667123613,78262.434652423486,133912.02842210996,131473.97046131332,127283.63688744516,121450.34932208894,114590.75752013443,115943.9272564703,176038.66961612357,161681.51681026109,138177.59239211853,113037.72141098049,66051.274539737147,115287.33717642598
0.01,0.01,2193269.5745128323,27778.566222803795,111646.19310228828,39133.088181788728,41354.690628815653,90419.340334238033,154453.16162664062,150255.0084702108,144910.09702523451,138126.5982257397,130368.89613739682,133229.2879982164,228077.30409380593,214394.08231614149,184669.00480165772,155052.99267302075,90842.600383470635,158558.66229136247
0.02,0.01,1867497.5662221261,27327.648440877507,109831.08473702293,30663.35454024393,33223.092947598292,84644.397265790496,146768.13435138165,146642.05341508295,141668.65510398845,135070.58047299882,127444.33767413377,129647.40724477217,170750.50083537039,159091.95656894377,136401.28834312971,111300.07735861656,64479.343045433314,112543.65387674161
0.029999999999999999,0.01,2274791.4300913312,33436.136138896596,134379.09613869071,37390.329189810094,40083.914352492153,95197.16161598386,165559.95059196968,160591.43812608669,155095.7481916557,147837.99266467179,139470.10840404997,141951.04152431685,222843.06835424769,208324.85953906499,178970.8548992202,158166.3836918383,93061.597531080784,162431.74913725533
0.040000000000000001,0.01,1932874.2242994553,29073.038284911669,116842.093988801,35941.940236345705,38971.358709727276,91599.241170969573,152409.64472653196,145714.36618911533,141007.6598279771,134559.72936921316,127045.91909990108,128539.5469076459,190432.39479878079,175880.12062339662,150349.61085544305,106048.45673490284,61360.007023564416,107099.0957522278
0.050000000000000003,0.01,2250710.988615701,34322.27000861345,137935.31835226144,37097.410816622294,39799.552278489857,93530.522647800812,162721.21679080455,158829.080350573,153265.23192699673,146115.55913036803,137906.94897074735,140730.52463555321,223484.67605609485,208791.72327658971,179634.77535322733,150902.34709528595,89473.982452957411,156169.8484727148
0.059999999999999998,0.01,2092350.8333756172,30043.439784567548,120736.5198393688,31893.123230777412,34500.839143918747,94523.327725034818,173207.68777029705,170235.48088980361,164344.92632733315,156615.59345251083,147686.40943886555,150473.89079019704,187823.67712326322,173785.14087887586,148849.27445787567,118677.15099932972,68825.252330876334,120129.09919272184
0.070000000000000007,0.01,2100882.1036376506,32397.872903403058,130194.4660414204,35916.432288680873,38815.503248149907,90099.96989748445,151840.98372097415,146912.49501855663,142088.5121114408,135487.70325750447,127784.74753463468,129432.790305403,201504.01523618787,185506.23627027319,158545.46600934322,151417.03807711237,88488.35673593705,154449.51498114449
0.080000000000000002,0.01,2422066.6173993358,35404.045271011179,142274.91091098025,37719.645561244135,40169.156651690966,110229.66703158917,203903.23209713341,200453.32441888351,193394.83584442671,184296.95183227755,173845.93599136983,177506.09246471245,211294.299556112,197566.19074335034,169858.99563065715,131870.70226613735,77320.950645744815,134957.68048201493
0.089999999999999997,0.01,2006128.2343393578,31183.162883907578,125306.15375387344,33532.086239040313,36818.436442475504,95174.843286523872,162858.78774741158,158118.03081843132,153113.22264286465,146048.44726706427,137759.08660950369,139158.5402510454,172889.17674769595,157547.7987805244,134158.89660067446,124662.67748044385,72046.809949155984,125752.07683872151
0.10000000000000001,0.01,2594090.7699213168,36194.115929182713,145444.47552047286,34334.269058175872,36414.400374598961,114149.90840580611,218504.68632181379,216624.46262104969,209011.73472452484,199152.512537195,187797.87280047487,191714.3014643685,221715.16590329132,206486.45698175422,177357.70906438894,152403.07711286293,89889.871553782155,156895.74954757359
0.11,0.01,2314392.9433595566,35582.400513290719,142984.16726299489,35635.923425185356,38074.361078862828,96730.296702235384,172919.81190786377,173249.408017309,167026.93147386771,159242.62176682719,150289.00852875769,153830.71293110814,210967.92513153027,197435.49887219959,169973.26721261456,157507.44857160692,92132.710466629229,160810.44949667319
0.12,0.01,2316796.9496009396,33140.096778983076,133168.02433698197,35712.106214243395,38404.359200108243,101797.04324269811,185295.77210163866,182171.95311359011,175786.53027529325,167539.35995877982,158051.60237050979,161323.3389798046,205919.69580607853,191437.26709400082,164350.7089456431,146435.4544616554,86057.315046629286,150206.32167430117
0.13,0.01,2355439.4050604189,33447.761793078316,134400.52544832532,42332.641715026293,45397.932638993909,109147.82275960974,188290.24865516063,184965.08001740472,178621.99703579865,170353.68194725874,160779.08293634665,163722.24688213688,202664.77049806484,188970.64129260683,162436.32290038542,149826.55255975891,87448.161350968338,152633.93462949482
0.14000000000000001,0.01,2065462.9758751828,32081.123532226495,128900.20484377151,32632.484986809297,35794.832378714949,97622.831273413351,171951.63842639382,167206.91908619981,161794.8273104821,154326.48428045333,145556.06506449115,147268.61545265061,197368.45223009257,181426.97545461578,154924.91452747281,99023.086098521875,57398.654859109207,100184.8660697639
0.14999999999999999,0.01,2044083.591322111,28885.622227493368,116062.84003036183,32141.800224433369,34765.717628092934,91763.473677571747,163736.33946241889,160591.00114049829,155165.32883405214,147884.27765060042,139440.92323432973,141692.41166216851,182246.83174352898,168809.76468842701,144658.33553908052,129171.99914501091,75422.625210627026,131644.29922341515
0.16,0.01,2137585.803021424,28730.895608728304,115439.24883162198,33757.043384238052,36634.828361505512,92825.487777066795,163821.27658659054,164566.52021048221,158702.1883515321,151286.98920596798,142802.70536718081,146015.62446278613,216430.22029737089,202948.47626744729,174396.13377803538,119295.24704627515,69181.687697996065,120751.22978659897
